# Planet Labs 18 SPCS Matching Report v1
# Available publicly at: http://ephemerides.planet-labs.com/18SPCS_matches_v1.txt
# Epoch: 2022-01-25T23:17:45Z
#
# Planet Labs ranging and GPS data always positively identifies the satellite
# RMS error < 5 km implies a 'good' match.
# hist: from historical match in absence of present match
#
# Column descriptions:
# * hw_id - Planet hardware ID of satellite.
# * planet_name - Planet's internal name of the satellite.
# * 18spcs_name - The name the 18th SPCS uses for the satellite.
# * catid - The ID of the satellite in the 18th SPCS catalog.
# * rms_km - The RMS error of the best TLE matches for this satellite.Up to 3 best matches are represented, each one separated by a '/'.
# * matches - The IDs of the best TLE matches for this satellite. Up to 3 best matches are represented, each one separated by a '/'.
# * correct_name - Flag identifying whether any of the TLE matches have the name we would expect for this satellite. Up to 3 best matches are represented, each one separated by a '/'.
# * catalogued - has the satellite been officially catalogued in the 18th SPCS cagolog?
# * catid_9digit - Temporary 9-digit catalog ID assigned by 18th SPCS for LEOP.
# * catid_supplemental - catalog-ID used by Celestrak published Supplemental TLEs during LEOP
#
# hw_id    planet_name       18spcs_name    catid    rms_km               matches            correct_name       catalogued    catid_9digit    catid_supplemental
0f3c       Flock 2k-15 0f3c  FLOCK 2K 15    42890    1.024                42890              True               True          -               -
0f3d       Flock 2k-16 0f3d  FLOCK 2K 16    42889    10.227               42889              True               True          -               -
0f3f       Flock 3p-83 0f3f  FLOCK 3P 83    42050    hist                 42050              True               True          -               -
0f40       Flock 2k-17 0f40  FLOCK 2K 17    42888    14.804               42888              True               True          -               -
0f41       Flock 3p-82 0f41  FLOCK 3P 82    42046    hist                 42046              True               True          -               -
0f42       Flock 3p-84 0f42  FLOCK 3P 84    42021    hist                 42021              True               True          -               -
0f43       Flock 3p-69 0f43  FLOCK 3P 69    42020    hist                 42020              True               True          -               -
0f44       Flock 2k-18 0f44  FLOCK 2K 18    42887    3.81                 42887              True               True          -               -
0f46       Flock 2k-19 0f46  FLOCK 2K 19    42886    1.137                42886              True               True          -               -
0f47       Flock 2k-20 0f47  FLOCK 2K 20    42885    7.743                42885              True               True          -               -
0f49       Flock 2k-21 0f49  FLOCK 2K 21    42860    1.338/24.592         42860/42865        True/False         True          -               -
0f4b       Flock 2k-23 0f4b  FLOCK 2K 23    42859    15.943               42859              True               True          -               -
0f4c       Flock 3m-4 0f4c   FLOCK 3M 4     42997    2.611                42997              True               True          -               -
0f4d       Flock 2k-25 0f4d  FLOCK 2K 25    42884    7.67                 42884              True               True          -               -
0f4e       Flock 3p-80 0f4e  FLOCK 3P 80    42026    0.4                  42026              True               True          -               -
0f4f       Flock 2k-24 0f4f  FLOCK 2K 24    42857    14.914               42857              True               True          -               -
0f51       Flock 3p-78 0f51  FLOCK 3P 78    42047    hist                 42047              True               True          -               -
0f52       Flock 3p-79 0f52  FLOCK 3P 79    41984    1.026                41984              True               True          -               -
0f53       Flock 2k-26 0f53  FLOCK 2K 26    42883    hist                 42883              True               True          -               -
0f54       Flock 2k-27 0f54  FLOCK 2K 27    42882    20.307               42882              True               True          -               -
1000       Flock 3p-1 1000   FLOCK 3P 1     41967    0.487/3.888          41967/41957        True/False         True          -               -
1001       Flock 3p-2 1001   FLOCK 3P 2     41966    0.827                41966              True               True          -               -
1002       Flock 3p-3 1002   FLOCK 3P 3     41968    1.036                41968              True               True          -               -
1003       Flock 3p-4 1003   FLOCK 3P 4     41965    0.772                41965              True               True          -               -
1004       Flock 3p-68 1004  FLOCK 3P 68    42003    hist                 42003              True               True          -               -
1005       Flock 3p-54 1005  FLOCK 3P 54    42014    0.817                42014              True               True          -               -
1006       Flock 3p-51 1006  FLOCK 3P 51    41952    1.011                41952              True               True          -               -
1007       Flock 3p-53 1007  FLOCK 3P 53    42013    0.962                42013              True               True          -               -
1008       Flock 3p-55 1008  FLOCK 3P 55    42041    0.567                42041              True               True          -               -
1009       Flock 3p-58 1009  FLOCK 3P 58    41977    0.605                41977              True               True          -               -
100a       Flock 3p-64 100a  FLOCK 3P 64    42034    1.193                42034              True               True          -               -
100b       Flock 3p-7 100b   FLOCK 3P 7     41970    hist                 41970              True               True          -               -
100c       Flock 3p-8 100c   FLOCK 3P 8     41951    0.789                41951              True               True          -               -
100d       Flock 2k-45 100d  FLOCK 2K 45    42856    5.368                42856              True               True          -               -
100e       Flock 3p-16 100e  FLOCK 3P 16    42011    2.726/47.299         42011/43771        True/False         True          -               -
100f       Flock 3p-56 100f  FLOCK 3P 56    42042    hist                 42042              True               True          -               -
1010       Flock 3p-12 1010  FLOCK 3P 12    41972    1.054                41972              True               True          -               -
1011       Flock 3p-46 1011  FLOCK 3P 46    42031    0.832                42031              True               True          -               -
1012       Flock 3p-61 1012  FLOCK 3P 61    42009    0.469                42009              True               True          -               -
1013       Flock 3p-66 1013  FLOCK 3P 66    42027    0.769                42027              True               True          -               -
1014       Flock 3p-57 1014  FLOCK 3P 57    41978    1.115                41978              True               True          -               -
1015       Flock 3p-63 1015  FLOCK 3P 63    42035    0.971                42035              True               True          -               -
1016       Flock 3p-13 1016  FLOCK 3P 13    42040    hist                 42040              True               True          -               -
1017       Flock 3p-67 1017  FLOCK 3P 67    42002    hist                 42002              True               True          -               -
1018       Flock 3p-14 1018  FLOCK 3P 14    42012    hist                 42012              True               True          -               -
1019       Flock 3p-44 1019  FLOCK 3P 44    42033    hist                 42033              True               True          -               -
101a       Flock 3p-45 101a  FLOCK 3P 45    42005    hist                 42005              True               True          -               -
101b       Flock 3p-60 101b  FLOCK 3P 60    41976    hist                 41976              True               True          -               -
101c       Flock 2k-48 101c  FLOCK 2K 48    42855    hist                 42855              True               True          -               -
101d       Flock 3p-15 101d  FLOCK 3P 15    42039    hist                 42039              True               True          -               -
101e       Flock 3p-42 101e  FLOCK 3P 42    42008    hist                 42008              True               True          -               -
101f       Flock 3p-11 101f  FLOCK 3P 11    41975    1.111                41975              True               True          -               -
1020       Flock 2k-44 1020  FLOCK 2K 44    42873    3.219                42873              True               True          -               -
1021       Flock 3p-9 1021   FLOCK 3P 9     41973    hist                 41973              True               True          -               -
1022       Flock 3p-10 1022  FLOCK 3P 10    41974    0.934                41974              True               True          -               -
1023       Flock 3p-17 1023  FLOCK 3P 17    41962    hist                 41962              True               True          -               -
1024       Flock 3p-19 1024  FLOCK 3P 19    41955    hist                 41955              True               True          -               -
1025       Flock 3p-23 1025  FLOCK 3P 23    42018    1.074                42018              True               True          -               -
1026       Flock 3p-24 1026  FLOCK 3P 24    41956    0.661                41956              True               True          -               -
1027       Flock 3p-47 1027  FLOCK 3P 47    42032    hist                 42032              True               True          -               -
1028       Flock 3p-22 1028  FLOCK 3P 22    41958    0.999                41958              True               True          -               -
1029       Flock 3p-20 1029  FLOCK 3P 20    41950    hist                 41950              True               True          -               -
102a       Flock 3p-21 102a  FLOCK 3P 21    41959    hist                 41959              True               True          -               -
102b       Flock 3p-18 102b  FLOCK 3P 18    41957    hist                 41957              True               True          -               -
102c       Flock 3p-28 102c  FLOCK 3P 28    41960    0.962                41960              True               True          -               -
102d       Flock 3p-26 102d  FLOCK 3P 26    41961    hist                 41961              True               True          -               -
102e       Flock 3p-30 102e  FLOCK 3P 30    41987    hist                 41987              True               True          -               -
102f       Flock 3p-25 102f  FLOCK 3P 25    41964    hist                 41964              True               True          -               -
1030       Flock 3p-27 1030  FLOCK 3P 27    41963    hist                 41963              True               True          -               -
1031       Flock 3p-41 1031  FLOCK 3P 41    42004    0.7                  42004              True               True          -               -
1032       Flock 3p-31 1032  FLOCK 3P 31    42049    0.745                42049              True               True          -               -
1033       Flock 3p-29 1033  FLOCK 3P 29    42045    1.082                42045              True               True          -               -
1034       Flock 3p-50 1034  FLOCK 3P 50    42029    1.013                42029              True               True          -               -
1035       Flock 3p-32 1035  FLOCK 3P 32    42023    0.84                 42023              True               True          -               -
1036       Flock 3p-38 1036  FLOCK 3P 38    42037    0.838                42037              True               True          -               -
1037       Flock 3p-37 1037  FLOCK 3P 37    41953    hist                 41953              True               True          -               -
